code,name,account_type,is_transactional
2.2.2.01,PROVISION INDEMNIZACIONES,LIABILITY,true
2.2.2.02,PROVISION CONTINGENCIAS,LIABILITY,true
3,PATRIMONIO,EQUITY,false
3.1,CAPITAL CONTABLE,EQUITY,false
3.1.1,CAPITAL SOCIAL,EQUITY,true
3.1.2,APORTES PARA FUTURAS CAPITALIZACIONES,EQUITY,true
3.1.3,RESERVA LEGAL,EQUITY,true
3.1.4,UTILIDADES RETENIDAS,EQUITY,true
3.1.5,RESULTADO DEL EJERCICIO,EQUITY,true
4,INGRESOS,REVENUE,false
4.1,INGRESOS OPERACIONALES,REVENUE,false
4.1.1,VENTAS DE PRODUCTOS,REVENUE,true
4.1.2,VENTAS DE SERVICIOS,REVENUE,true
4.1.3,DESCUENTOS SOBRE VENTAS,REVENUE,true
4.2,OTROS INGRESOS,REVENUE,false
4.2.1,INGRESOS FINANCIEROS,REVENUE,true
4.2.2,OTROS INGRESOS NO OPERACIONALES,REVENUE,true
5,GASTOS,EXPENSE,false
5.1,GASTOS DE OPERACION,EXPENSE,false
5.1.1,SUELDOS Y SALARIOS,EXPENSE,true
5.1.2,PRESTACIONES LABORALES,EXPENSE,true
5.1.3,ALQUILERES,EXPENSE,true
5.1.4,SERVICIOS BASICOS,EXPENSE,true
5.1.5,PAPELERIA Y UTILES,EXPENSE,true
5.1.6,DEPRECIACIONES DEL PERIODO,EXPENSE,true
5.1.7,MANTENIMIENTO Y REPARACIONES,EXPENSE,true
5.2,GASTOS DE VENTA,EXPENSE,false
5.2.1,COMISIONES SOBRE VENTAS,EXPENSE,true
5.2.2,PUBLICIDAD Y MERCADEO,EXPENSE,true
5.2.3,FLETES Y ACARREOS,EXPENSE,true
5.3,GASTOS ADMINISTRATIVOS,EXPENSE,false
5.3.1,HONORARIOS PROFESIONALES,EXPENSE,true
5.3.2,GASTOS LEGALES,EXPENSE,true
5.3.3,GASTOS BANCARIOS,EXPENSE,true
5.4,GASTOS FINANCIEROS,EXPENSE,false
5.4.1,INTERESES BANCARIOS,EXPENSE,true
5.4.2,COMISIONES FINANCIERAS,EXPENSE,true
5.5,GASTOS DE FLOTILLA,EXPENSE,false
5.5.1,COMBUSTIBLES Y LUBRICANTES,EXPENSE,true
5.5.2,REPUESTOS DE FLOTILLA,EXPENSE,true
5.5.3,MANTENIMIENTO DE VEHICULOS,EXPENSE,true
